2021-06-29 11:32:34.140 [INFO ] [main] o.e.z.JenkinsApp                                   :  Job deploy_aisen successfully created
2021-06-29 11:41:07.834 [INFO ] [main] o.e.z.JenkinsApp                                   :  Job deploy_hvyt successfully created
2021-06-29 11:41:07.961 [ERROR] [main] o.e.z.JenkinsApp                                   :  Exception: java.lang.IllegalArgumentException
2021-06-29 11:43:21.894 [INFO ] [main] o.e.z.JenkinsApp                                   :  Job deploy_hvyt successfully created
2021-06-29 11:43:22.020 [INFO ] [main] o.e.z.JenkinsApp                                   :  Build successfuly submitted with queue id: 2584
2021-06-29 11:43:32.408 [INFO ] [main] o.e.z.JenkinsApp                                   :  Build is executing with build number: 1
2021-06-29 11:43:32.614 [INFO ] [main] o.e.z.JenkinsApp                                   :  Build status: FAILURE
2021-06-29 11:46:01.809 [INFO ] [main] o.e.z.JenkinsApp                                   :  Job deploy_hvyt successfully created
2021-06-29 11:46:02.023 [INFO ] [main] o.e.z.JenkinsApp                                   :  Build successfuly submitted with queue id: 2586
2021-06-29 11:46:12.418 [INFO ] [main] o.e.z.JenkinsApp                                   :  Build is executing with build number: 1
2021-06-29 11:46:12.615 [INFO ] [main] o.e.z.JenkinsApp                                   :  Build status: SUCCESS
2021-06-29 13:43:25.495 [ERROR] [main] o.e.z.JenkinsApp                                   :  Exception: org.jclouds.http.HttpResponseException
2021-06-29 13:44:05.063 [ERROR] [main] o.e.z.JenkinsApp                                   :  Exception: org.jclouds.http.HttpResponseException
2021-06-29 13:44:16.382 [ERROR] [main] o.e.z.JenkinsApp                                   :  Exception: org.jclouds.http.HttpResponseException
2021-06-29 13:45:46.556 [ERROR] [main] o.e.z.JenkinsApp                                   :  Exception: org.jclouds.http.HttpResponseException
2021-06-29 13:49:28.931 [INFO ] [main] o.e.z.JenkinsApp                                   :  Job deploy_hvyt successfully created
2021-06-29 13:55:21.054 [INFO ] [main] o.e.z.JenkinsApp                                   :  Job deploy_hvyt successfully created
2021-06-29 14:09:46.741 [ERROR] [main] o.e.z.JenkinsApp                                   :  Exception: org.jclouds.http.HttpResponseException
2021-06-29 14:10:50.907 [ERROR] [main] o.e.z.JenkinsApp                                   :  Exception: org.jclouds.http.HttpResponseException
2021-06-29 14:12:27.593 [INFO ] [main] o.e.z.JenkinsApp                                   :  Job deploy_hvyt successfully created
2021-06-29 14:17:00.788 [INFO ] [main] o.e.z.JenkinsApp                                   :  Job deploy_hvyt successfully created
